"PRJ_ID","PRJ_IDPARENT","PRJ_CODE","PRJ_DESCRIPTIONDU","PRJ_DESCRIPTIONEN","PRJ_INTERNETWORK","PRJ_URL","PRJ_CONTENTDU","PRJ_USERUPDATE","PRJ_DATEUPDATE","PRJ_STARTDATE","PRJ_COMMENTS","PRJ_USERCREATION","PRJ_CONTENTFR","PRJ_DATECREATION","PRJ_ENDDATE","PRJ_DESCRIPTIONFR","PRJ_DELETE","PRJ_PRJS_ID","PRJ_RELT_ID","PRJ_CONTENTEN"
115,,"ZSBFK","JHSFJH","SJTHES","","","","PGERARD",12/05/04,31/05/04,"","RELEX","",12/05/04,30/06/04,"&JHSMFJHS","O",,,""
116,,"COMMISSION A","AFFAIRES INSTITUTIONNELLES, COOPÉRATION EST/OUEST","AFFAIRES INSTITUTIONNELLES, COOPÉRATION EST/OUEST","","","","PGERARD",12/05/04,01/01/90,"","PGERARD","",12/05/04,,"AFFAIRES INSTITUTIONNELLES, COOPÉRATION EST/OUEST","O",17,,""
163,153,"MAZOVIE- AP ENV 2002 - 2005","MAZOVIE : BIJZONDER VERGELIJK: PROJECT 1 MILIEUBELEID","MAZOVIE : ARRANGEMENT PARTICULIER: PROJET1 POLITIQUE DE L' ENVIRONNEMENT","24","","LEEFMILIEU - MILIEUBESCHERMING - WATER': De oprichting van waterzuiveringsstations - AFVAL","PGERARD",11/01/12,15/04/02,"Voir aussi Mazovie                       -                          Zie ook Mazovië                       -                        Also see Mazovie
Arrangement particulier tout d'abord axé sur la Politique de l'Eau. Le Volet a été élargi à la politique de gestion des déchets
Dit bijzonder vergelijk was gericht op het thema waterbeheer. Naderhand werd afvalbeheer een onderdeel van de samenwerking.
This special agreement was initially based on water management. This part was extended to include waste treatment.","PGERARD","ENVIRONNEMENT- PROTECTION DE L'ENVIRONNEMENT- EAU Création de stations d'épuration des EAUX' - DECHETS",25/05/04,15/04/05,"MAZOVIE : ARRANGEMENT PARTICULIER: PROJET1 POLITIQUE DE L' ENVIRONNEMENT","N",,17,"ENVIRONMENT - ENVIRONMENTAL PROTECTION - WATER': construction of wastewater treatment facilities - WASTE"
164,,"AP ECO","MAZOVIE: PROJECT2 . ECONOMISCHE ACTIES","MAZOVIE: PROJECT2 . ECONOMISCHE ACTIES","2","","","PGERARD",25/05/04,15/04/02,"","PGERARD","ECONOMIE- COMMERCE- DEVELOPPEMENT- INVESTISSEMENT- PME",25/05/04,01/04/05,"MAZOVIE: PROJET 2 . ACTIONS ECONOMIES","O",17,17,""
165,153,"MAZOVIE - AP ACT ECO 2002 - 2005","MAZOVIE : BIJZONDER VERGELIJK :PROJECT2: ECONOMISCHE ACTIES","MAZOVIE : ARRANGEMENT PARTICULIER: PROJET2: ACTIONS ECONOMIQUES","24","","ECONOMIE & HANDEL - ECONOMISCHE ONTWIKKELING - INVESTERINGEN: welk beleid is nodig om investeringen aan te trekken? - HANDEL' : Wat zijn de middelen en diensten voor de uitbouw van de buitenlandse handel?  - KMO: Bijstand voor de oprichting van en ondersteurning van deze bedrijven.","PGERARD",11/01/12,15/04/02,"Voir aussi Mazovie
Zie ook Mazovië","PGERARD","ECONOMIE & COMMERCE- DEVELOPPEMENT ECONOMIQUE- Politique visant à attirer les INVESTISSEMENTS- Techniques et services promotionnels au développement de COMMERCE' international - Aide à l'émergence et soutien des PME",25/05/04,01/04/05,"MAZOVIE : ARRANGEMENT PARTICULIER: PROJET2: ACTIONS ECONOMIQUES","N",,17,"ECONOMY & TRADE - ECONOMICAL DEVELOPMENT - INVESTMENTS - TRADE' - SME"
166,153,"MAZOVIE- AP INT EUR 2002 - 2005","MAZOVIE:  BIJZONDER VERGELIJK. PROJECT 3: EUROPESE INTEGRATIE","MAZOVIE:  ARRANGEMENT PARTICULIER. PROJET3:  EUROPEAN INTEGRATION","24","","EXTERNE BETREKKINGEN - EUROPESE ZAKEN - EUROPESE PROGRAMMA'S: Dit bijzonder vergelijk streeft de samenwerking na op het gebied van Europese integratie, onderzoek en analyse van EU-programma's. Eventuele deelname aan Europese programma's overeenkomstig het belang van de 2 partijen.","PGERARD",11/01/12,15/04/02,"","PGERARD","RELATIONS EXTERIEURES -  AFFAIRES EUROPEENNES - PROGRAMMES EUROPEENS: Vise la coopération dans le domaine de l'Intégration européenne, recherche , analyse concernant les programmes communautaires - Participation éventuelle à des PROGAMMES EUROPEENS selon l'intérêt des 2 parties
(voir aussi Mazovie)",25/05/04,01/04/05,"MAZOVIE : ARRANGEMENT PARTICULIER. PROJET3: INTEGRATION EUROPEENNE","N",,17,"EXTERNAL RELATIONS - EUROPEAN AFFAIRS - EUROPEAN PROGRAMMES: This particular agreement pursues cooperation in the field of European integration, research and analysis concerning EU programmes .  Possible participation in EU programmes in function of both parties' interest"
118,110,"COM PERM","ARE - COMMITE PERMANENT : AFFAIRES INSTITUTIONNELLES","ARE - COMMITE PERMANENT : AFFAIRES INSTITUTIONNELLES","21","","EXTERNE BETREKKINGEN - INTERREGIONALE SAMENWERKING tussen Oost- en West-Europa.
OVERHEDEN - REGIONAAL BELEID
Zie ook de Vergadering van de regio's van Europa.","PGERARD",09/10/07,01/01/99,"Voir aussi ARE                     -                     Zie ook VRE                    -                        See also AER","PGERARD","RELATIONS EXTERIEURES- -COOPERATION INTERREGIONALE Entre l'Europe de l'Est et de l'Ouest. 
AUTORITES -RELATIONS EXTERIEURES - POLITIQUE REGIONALE-
Voir aussi Assemblée des Régions d'Europe",12/05/04,,"ARE - COMMITE PERMANENT : AFFAIRES INSTITUTIONNELLES","N",17,18,"EXTERNAL RELATIONS - INTERREGIONAL COOPERATION: between eastern and western Europe.
AUTHORITIES - REGIONAL POLICY 

AUTHORITIES - REGIONAL POLICY"
119,110,"COM EC DEV REG","ARE : COMMISSION ECONOMIE ET DEVELOPPEMENT REGIONAL","ARE : COMMISSION ECONOMIE ET DEVELOPPEMENT REGIONAL","21","","RELATIONS EXTERIEURES - AFFAIRES EUROPEENNES - FONDS STRUCTURELS - ECONOMIE & COMMERCE - COMMERCE - ECONOMIE - EMPLOI - COMPETITIVITE - DEVELOPPEMENT ECONOMIQUE - INNOVATION - DEVELOPPEMENT REGIONAL - POLITIQUE REGIONALE - RECHERCHE","PGERARD",09/10/07,01/01/99,"Voir aussi ARE - Zie ook VRE","PGERARD","RELATIONS EXTERIEURES - AFFAIRES EUROPEENNES - FONDS STRUCTURELS - ECONOMIE & COMMERCE - COMMERCE - ECONOMIE - EMPLOI - COMPETITIVITE - DEVELOPPEMENT ECONOMIQUE - INNOVATION - DEVELOPPEMENT REGIONAL - POLITIQUE REGIONALE - RECHERCHE",12/05/04,,"ARE : COMMISSION ECONOMIE ET DEVELOPPEMENT REGIONAL","N",17,18,"RELATIONS EXTERIEURES - AFFAIRES EUROPEENNES - FONDS STRUCTURELS - ECONOMIE & COMMERCE - COMMERCE - ECONOMIE - EMPLOI - COMPETITIVITE - DEVELOPPEMENT ECONOMIQUE - INNOVATION - DEVELOPPEMENT REGIONAL - POLITIQUE REGIONALE - RECHERCHE"
155,,"MOSCOU - MOSKOU","VRIENDSCHAPS EN SAMENWERKINGSAKKOORD TUSSEN MOSKOU EN HET BRUSSELS HOOFDSTEDELIJK GEWEST","ACCORD D'AMITIE ET DE COOPERATION ENTRE MOSCOU ET LA REGION DE BRUXELLES-CAPITALE","24","","STEDENBOUW EN STADSVERNIEUWING - REGIONALE ONTWIKKELING - STEDELIJKE ONTWIKKELING - RUIMTELIJKE ORDENING - ECONOMIE & HANDEL - ECONOMISCHE ONTWIKKELING - ONDERZOEK EN ONTWIKKELING - OPENBARE WERKEN - VERVOER - VERVOER (ALLERLEI): verkeer - HUISVESTING - WOONKWALITEIT - LEEFMILIEU - MILIEUBESCHERMING - PATRIMONIUM - MONUMENTENZORG - VEILIGHEID - VEILIGHEID (ALLERLEI) - TOERISME - TOERISME (ALLERLEI) - DIVERSEN - CULTUUR - SPORT' -  ONDERWIJS","GDEROEP",12/04/06,25/06/96,"","PGERARD","URBANISME ET RENOVATION URBAINE - DEVELOPPEMENT REGIONAL- DEVELOPPEMENT URBAIN - AMENAGEMENT DU TERRITOIRE - ECONOMIE & COMMERCE - DEVELOPPEMENT ECONOMIQUE - R&D - TRAVAUX PUBLICS - TRANSPORTS - TRANSPORTS (DIVERS) communications -  LOGEMENT - QUALITE DE L'HABITAT - ENVIRONNEMENT - PROTECTION DE L'ENVIRONNEMENT - PATRIMOINE - CONSERVATION DU PATRIMOINE - SECURITE - SECURITE (DIVERS) - TOURISME - TOURISME (DIVERS) - AUTRES - CULTURE - SPORT' - ENSEIGNEMENT",19/05/04,,"ACCORD D'AMITIE ET DE COOPERATION ENTRE MOSCOU ET LA REGION DE BRUXELLES-CAPITALE","N",17,17,"TOWN PLANNING AND RENOVATION - REGIONAL DEVELOPMENT - TOWN PLANNING - ECONOMY & TRADE - ECONOMICAL DEVELOPMENT - R&D - PUBLIC WORKS - TRANSPORT (MISC.)  - HOUSING - HOUSING QUALITY - ENVIRONMENT - HERITAGE - CONSERVATION OF MONUMENTS - SECURITY - SECURITY (MISC.) - TOURISM - TOURISM (MISC.) - MISCELLANEOUS - CULTURE - SPORT - EDUCATION"
117,110,"CCCCCCCCCCCCCCCCCCCC","BBBBBBBBBBBBBBBBBBBB","BBBBBBBBBBBBBBBBBBBB","","","","PGERARD",12/05/04,12/05/04,"","PGERARD","",12/05/04,,"BBBBBBBBBBBBBBBBBB","O",,,""
