"KW_ID","KW_USERUPDATE","KW_NAMEFR","KW_NAMEDU","KW_DATEUPDATE","KW_USERCREATION","KW_NAMEEN","KW_DATECREATION"
177,"GDEROEP","GESTION ADMINISTRATIVE","ADMINISTRATIEF BEHEER",14/06/05,"PGERARD","ADMINISTRATIVE MANAGEMENT",13/05/04
178,"GDEROEP","ENTREPRISES","ONDERNEMINGEN",26/05/04,"PGERARD","ENTREPRISES",25/05/04
179,"GDEROEP","BUDGET (DIVERS)","BEGROTING (ALLERLEI)",26/05/04,"PGERARD","BUDGET (MISC.)",25/05/04
183,"","AFFAIRES EUROPEENNES","EUROPESE ZAKEN",,"PGERARD","EUROPEAN AFFAIRS",26/05/04
185,"GDEROEP","COOPERATION INTERURBAINE","INTERSTEDELIJKE SAMENWERKING",05/07/04,"PGERARD","INTERURBAN COOPERATION",03/06/04
188,"GDEROEP","SECURITE (TRANSPORT)","VEILIG VERVOER",29/10/04,"GDEROEP","SECURITY (TRANSPORT)",29/10/04
62,"","ADMINISTRATION","ADMINISTRATIE",,"RELEX","ADMINISTRATION",11/05/04
65,"GDEROEP","GESTION DU PERSONNEL","PERSONEELSBEHEER",11/05/04,"RELEX","HUMAN RESOURCES",11/05/04
66,"GDEROEP","ORGANISATION","ORGANISATIE",11/05/04,"RELEX","ORGANISATION",11/05/04
67,"GDEROEP","SERVICE A LA POPULATION","DIENSTVERLENING",26/05/04,"RELEX","CUSTOMER SERVICE",11/05/04
68,"GDEROEP","DEMOCRATIE","DEMOCRATIE",27/05/04,"RELEX","DEMOCRACY",11/05/04
69,"GDEROEP","COOPERATION AU DEVELOPPEMENT","ONTWIKKELINGSSAMENWERKING",14/06/05,"RELEX","DEVELOPMENT AID",11/05/04
70,"GDEROEP","COMMERCE'","HANDEL'",29/10/04,"RELEX","TRADE'",11/05/04
71,"GDEROEP","COMPETITIVITE","CONCURRENTIEVERMOGEN",26/05/04,"RELEX","COMPETITIVENESS",11/05/04
72,"GDEROEP","DEVELOPPEMENT ECONOMIQUE","ECONOMISCHE ONTWIKKELING",30/05/05,"RELEX","ECONOMICAL DEVELOPMENT",11/05/04
73,"GDEROEP","ECONOMIE","ECONOMIE",26/05/04,"RELEX","ECONOMY",11/05/04
74,"GDEROEP","INDUSTRIE","INDUSTRIE",26/05/04,"RELEX","INDUSTRY",11/05/04
75,"GDEROEP","INVESTISSEMENTS","INVESTERINGEN",11/05/04,"RELEX","INVESTMENTS",11/05/04
76,"GDEROEP","PME","KMO",11/05/04,"RELEX","SME",11/05/04
77,"GDEROEP","EMPLOI","WERKGELEGENHEID",27/05/04,"RELEX","EMPLOYMENT",11/05/04
78,"GDEROEP","FORMATION PROFESSIONNELLE","BEROEPSOPLEIDING",26/05/04,"RELEX","VOCATIONAL TRAINING",11/05/04
79,"GDEROEP","INSERTION PROFESSIONNELLE","PROFESSIONELE INSCHAKELING",26/05/04,"RELEX","PROFESSIONAL INSERTION",11/05/04
80,"GDEROEP","GESTION DE L'ENERGIE","ENERGIEBEHEER",26/05/04,"RELEX","ENERGY MANAGEMENT",11/05/04
81,"GDEROEP","ENERGIE","ENERGIE",26/05/04,"RELEX","ENERGY",11/05/04
82,"GDEROEP","PROTECTION DE L'ENVIRONNEMENT","MILIEUBESCHERMING",15/06/05,"RELEX","ENVIRONMENTAL PROTECTION",11/05/04
83,"GDEROEP","AIR'","LUCHT",04/11/04,"RELEX","AIR'",11/05/04
84,"GDEROEP","BRUIT","GELUID",26/05/04,"RELEX","NOISE",11/05/04
85,"GDEROEP","DECHETS","AFVAL",26/05/04,"RELEX","WASTE",11/05/04
86,"GDEROEP","EAUX'","WATER'",29/10/04,"RELEX","WATER'",11/05/04
87,"GDEROEP","ENVIRONNEMENT","LEEFMILIEU",11/05/04,"RELEX","ENVIRONMENT",11/05/04
88,"GDEROEP","POLLUTION","VERVUILING",26/07/04,"RELEX","POLLUTION",11/05/04
89,"GDEROEP","RECYCLAGE","RECYCLAGE",26/05/04,"RELEX","RECYCLING",11/05/04
90,"GDEROEP","FAUNE ET FLORE","FAUNA EN FLORA",26/05/04,"RELEX","FAUNA AND FLORA",11/05/04
91,"","BUDGET","BEGROTING",,"RELEX","BUDGET",11/05/04
92,"GDEROEP","FINANCEMENT DES REGIONS CAPITALES","FINANCIERING VAN HOOFDSTEDELIJKE GEWESTEN",14/06/05,"RELEX","FINACING OF CAPITAL REGIONS",11/05/04
93,"GDEROEP","FINANCES LOCALES","PLAATSELIJKE FINANCIEN",26/05/04,"RELEX","LOCAL FINANCES",11/05/04
94,"GDEROEP","GESTION FINANCIERE","FINANCIEEL BEHEER",26/05/04,"RELEX","FINANCIAL MANAGEMENT",11/05/04
95,"GDEROEP","TAXES LOCALES","PLAATSELIJKE BELASTINGEN",26/05/04,"RELEX","LOCAL TAXES",11/05/04
96,"GDEROEP","CONCEPTION","ONTWERP",26/05/04,"RELEX","DESIGN",11/05/04
97,"GDEROEP","HABITATION","WONING",27/05/04,"RELEX","DWELLING",11/05/04
98,"GDEROEP","LOCATION","HUUR",26/05/04,"RELEX","RENT",11/05/04
99,"GDEROEP","LOGEMENT","HUISVESTING",26/05/04,"RELEX","HOUSING",11/05/04
100,"GDEROEP","LOGEMENT SOCIAL","SOCIALE HUISVESTING",26/05/04,"RELEX","SOCIAL HOUSING",11/05/04
101,"GDEROEP","PROPRIETE","EIGENDOM",26/05/04,"RELEX","PROPERTY",11/05/04
102,"GDEROEP","QUALITE DE L'HABITAT","WOONKWALITEIT",27/05/04,"RELEX","HOUSING QUALITY",11/05/04
103,"PGERARD","CONSERVATION DU PATRIMOINE","MONUMENTENZORG",02/06/04,"RELEX","CONSERVATION OF MONUMENTS",11/05/04
104,"GDEROEP","MONUMENTS","MONUMENTEN'",04/11/04,"RELEX","MONUMENTS'",11/05/04
105,"GDEROEP","PROTECTION DU PATRIMOINE","BESCHERMING VAN MONUMENTEN",26/05/04,"RELEX","PROTECTION OF MONUMENTS",11/05/04
106,"GDEROEP","AIDE AUX PERSONNES","HULP AAN PERSONEN",26/05/04,"RELEX","ASSISTANCE TO INDIVIDUALS",11/05/04
107,"GDEROEP","AIDE MEDICALE (URGENTE)","MEDISCHE HULP (DRINGENDE)",26/05/04,"RELEX","MEDICAL HELP (URGENT)",11/05/04
108,"GDEROEP","BIEN-ETRE","WELZIJN",26/07/04,"RELEX","WELFARE",11/05/04
109,"GDEROEP","HOPITAUX","HOSPITALEN",26/05/04,"RELEX","HOSPITALS",11/05/04
110,"GDEROEP","SANTE","GEZONDHEID",26/05/04,"RELEX","HEALTH",11/05/04
111,"GDEROEP","COOPERATION INTERREGIONALE","INTERREGIONALE SAMENWERKING",26/05/04,"RELEX","INTERREGIONAL COOPERATION",11/05/04
113,"GDEROEP","FONDS STRUCTURELS EUROPEENS","EUROPESE STRUCTUURFONDSEN",02/05/05,"RELEX","EUROPEAN STRUCTURAL FUNDS",11/05/04
114,"GDEROEP","LA FONCTION DE CAPITALE","DE HOOFDSTEDELIJKE FUNCTIE",17/02/05,"RELEX","CAPITAL FUNCTION",11/05/04
115,"GDEROEP","PROGRAMMES EUROPEENS","EUROPESE PROGRAMMA'S",26/05/04,"RELEX","EUROPEAN PROGRAMMES",11/05/04
116,"GDEROEP","INNOVATION","INNOVATIE",14/06/05,"RELEX","INNOVATIONS",11/05/04
117,"GDEROEP","RECHERCHE SCIENTIFIQUE","WETENSCHAPPELIJK ONDERZOEK",27/05/04,"RELEX","SCIENTIFIC RESEARCH",11/05/04
118,"GDEROEP","TECHNOLOGIES","TECHNOLOGIEEN",05/11/04,"RELEX","TECHNOLOGY",11/05/04
120,"GDEROEP","CRIMINALITE","MISDAAD",26/05/04,"RELEX","CRIME",11/05/04
121,"GDEROEP","DROGUE","DRUGS",05/07/04,"RELEX","DRUGS",11/05/04
122,"GDEROEP","INCENDIE","BRAND",26/05/04,"RELEX","FIRE",11/05/04
123,"GDEROEP","POLICE","POLITIE'",14/06/05,"RELEX","POLICE",11/05/04
124,"GDEROEP","PREVENTION","PREVENTIE",26/05/04,"RELEX","PREVENTION",11/05/04
126,"GDEROEP","DEVELOPPEMENT TOURISTIQUE","TOERISTISCHE ONTWIKKELING",14/06/05,"RELEX","TOURISTIC DEVELOPMENT",11/05/04
127,"GDEROEP","PROMOTION","PROMOTIE",26/05/04,"RELEX","PROMOTION",11/05/04
128,"GDEROEP","TOURISME D'AFFAIRES","ZAKENREIZEN",30/11/04,"RELEX","BUSINESS TOURISM",11/05/04
129,"GDEROEP","TOURISME D'AGREMENT","VRIJETIJDSTOERISME",27/05/04,"RELEX","RECREATIONAL TOURISM",11/05/04
130,"PGERARD","VOITURES","AUTO",13/05/04,"RELEX","CARS",11/05/04
131,"","BUS","BUS",,"RELEX","BUS",11/05/04
132,"GDEROEP","INFRASTRUCTURE & VOIRIES","INFRASTRUCTUUR & WEGEN",17/02/05,"RELEX","INFRASTRUCTURE & ROADS",11/05/04
133,"PGERARD","'PORT'","HAVEN",14/06/05,"RELEX","PORT'",11/05/04
134,"GDEROEP","TECHNOLOGIE & INNOVATION","TECHNOLOGIE & INNOVATIE",15/06/05,"RELEX","TECHNOLOGY &  INNOVATION",11/05/04
135,"GDEROEP","TRAM","TRAM",26/07/04,"RELEX","TRAMWAY",11/05/04
136,"GDEROEP","TRANSPORT EN COMMUN","OPENBAAR VERVOER",11/05/04,"RELEX","PUBLIC TRANSPORT",11/05/04
137,"GDEROEP","TRANSPORT PAR EAU","VERVOER TE WATER",26/07/04,"RELEX","WATER-CARRIAGE",11/05/04
138,"GDEROEP","TRANSPORT PRIVE","PRIVE-VERVOER",26/05/04,"RELEX","PRIVATE TRANSPORT",11/05/04
139,"GDEROEP","TRANSPORT ROUTIER","WEGVERVOER",27/05/04,"RELEX","ROAD TRANSPORT",11/05/04
140,"GDEROEP","TRAVAUX'","WERKEN'",04/11/04,"RELEX","WORKS'",11/05/04
141,"GDEROEP","VOYAGEURS","REIZIGERS",26/05/04,"RELEX","TRAVELLERS",11/05/04
142,"GDEROEP","TRAVAUX PUBLICS","OPENBARE WERKEN",02/07/04,"RELEX","PUBLIC WORKS",11/05/04
143,"GDEROEP","AMENAGEMENT DU TERRITOIRE","RUIMTELIJKE ORDENING",26/05/04,"RELEX","SPATIAL PLANNING",11/05/04
144,"GDEROEP","DEVELOPPEMENT REGIONAL","REGIONALE ONTWIKKELING",26/05/04,"RELEX","REGIONAL DEVELOPMENT",11/05/04
145,"GDEROEP","DEVELOPPEMENT URBAIN","STEDELIJKE ONTWIKKELING",26/05/04,"RELEX","URBAN DEVELOPMENT",11/05/04
146,"GDEROEP","GESTION URBAINE","STADSBEHEER",26/05/04,"RELEX","URBAN MANAGEMENT",11/05/04
147,"GDEROEP","PLANIFICATION","PLANNING",05/11/04,"RELEX","PLANNING'",11/05/04
148,"GDEROEP","RENOVATION URBAINE'","STADSRENOVATIE",15/06/05,"RELEX","URBAN RENOVATION",11/05/04
149,"GDEROEP","REVITALISATION","HEROPLEVING",21/06/05,"RELEX","REVITALIZATION",11/05/04
150,"GDEROEP","URBANISME'","STEDENBOUW'",16/06/05,"RELEX","TOWN PLANNING'",11/05/04
151,"GDEROEP","ENSEIGNEMENT","ONDERWIJS",26/05/04,"RELEX","EDUCATION",11/05/04
152,"GDEROEP","CULTURE","CULTUUR",26/05/04,"RELEX","CULTURE",11/05/04
153,"GDEROEP","HANDICAPES","MINDERVALIDEN",26/05/04,"RELEX","DISABLED",11/05/04
154,"GDEROEP","JEUNES","JONGEREN",26/05/04,"RELEX","YOUTH",11/05/04
155,"GDEROEP","MIGRATION","MIGRATIE",26/05/04,"RELEX","MIGRATION",11/05/04
156,"GDEROEP","SPORT'","SPORT'",05/11/04,"RELEX","SPORT'",11/05/04
157,"GDEROEP","TELECOMMUNICATIONS","TELECOMMUNICATIE",26/05/04,"RELEX","TELECOMMUNICATION",11/05/04
158,"GDEROEP","TOURISME","TOERISME",26/05/04,"RELEX","TOURISM",11/05/04
184,"GDEROEP","POLITIQUE LOCALE","LOKAAL BELEID",27/05/05,"GDEROEP","LOCAL POLICY",27/05/04
186,"GDEROEP","EGALITE DES CHANCES","GELIJKE KANSEN",23/08/06,"GDEROEP","EQUAL OPPORTUNITIES",01/07/04
187,"","RAYONNEMENT INTERNATIONAL","INTERNATIONALE UITSTRALING",,"GDEROEP","INTERNATIONAL IMAGE",01/07/04
182,"","POLITIQUE REGIONALE","REGIONAAL BELEID",,"PGERARD","REGIONAL POLICY",25/05/04
